hours_studied,classes_attended,past_score,exam_score
6.63,25,45.3,77.79
9.07,15,76.4,89.84
7.98,26,74.8,90.3
3.03,26,85.3,67.93
3.7,24,84.2,73.98
8.86,24,58.0,84.23
1.05,16,79.7,59.44
8.39,25,87.7,100.0
8.17,12,89.1,86.33
5.21,23,48.9,65.24
3.73,29,41.5,59.96
3.51,30,75.8,76.35
3.29,16,51.8,55.38
5.01,16,71.0,65.08
5.54,22,92.0,84.43
5.98,18,60.9,67.03
9.96,25,53.9,95.15
8.13,14,65.1,82.76
6.6,13,76.1,79.77
9.9,11,45.6,74.46
2.94,19,60.9,62.33
2.44,14,47.4,49.02
6.51,16,76.4,76.02
1.4,29,85.7,69.44
1.32,27,60.7,54.93
5.63,27,60.4,71.48
5.2,22,69.7,77.97
9.25,12,51.8,75.97
6.66,25,53.6,78.27
5.63,22,58.1,76.46
5.47,29,65.2,72.97
3.23,20,44.5,53.36
1.11,13,81.4,56.03
2.73,22,71.8,67.22
7.23,19,56.5,74.39
2.81,23,44.3,61.26
4.33,17,82.0,72.46
1.03,16,47.2,40.59
8.47,12,47.3,68.31
2.39,30,47.2,65.3
3.41,25,44.5,63.07
8.92,19,89.9,86.75
5.59,14,54.8,70.13
8.62,23,56.9,87.19
6.76,18,85.8,88.84
7.68,23,74.1,85.52
1.82,11,50.3,44.5
5.87,13,63.9,63.74
5.57,25,88.6,95.44
8.84,11,60.6,76.67
4.25,24,79.1,82.24
6.38,18,45.3,65.19
1.53,10,80.0,54.78
4.49,26,82.7,73.02
3.91,24,85.4,75.2
2.35,27,77.1,73.92
8.35,28,60.4,83.93
4.42,25,43.5,69.19
9.81,27,68.5,98.16
6.31,12,81.7,71.26
6.45,29,50.5,76.67
6.74,29,54.6,79.43
7.09,24,69.5,83.69
2.36,26,81.2,68.52
4.96,25,89.3,79.79
3.16,28,46.9,62.24
4.62,28,50.1,66.31
1.87,20,84.0,59.72
9.71,27,75.4,98.64
2.94,29,79.7,78.39
7.05,16,94.8,80.06
3.7,10,91.7,66.91
8.87,13,86.4,85.52
6.96,10,82.7,72.88
2.18,19,61.7,60.93
8.61,10,75.3,78.72
9.5,15,50.1,85.53
9.14,15,81.8,86.07
6.13,24,81.7,85.86
2.31,15,79.7,60.23
2.73,29,64.5,65.68
9.35,13,60.8,83.43
5.97,30,63.1,81.35
2.62,21,41.8,56.32
8.96,15,86.4,89.89
6.77,10,69.8,67.17
6.13,16,61.3,70.37
4.39,22,70.1,71.9
4.7,12,79.7,72.13
3.16,13,61.0,52.76
1.34,12,85.7,56.8
8.89,24,90.6,91.58
5.21,11,61.3,65.7
5.93,10,47.6,56.05
3.9,19,81.8,64.2
7.76,16,94.6,88.71
1.23,21,48.1,54.98
4.35,29,79.2,74.22
1.27,28,85.4,65.02
2.11,21,90.6,65.98
9.7,23,46.8,81.06
6.92,27,45.0,78.55
4.85,19,94.3,76.38
5.71,23,46.4,66.59
8.86,14,49.7,78.37
4.1,22,71.6,68.04
6.31,14,64.5,72.75
7.15,14,81.3,76.37
4.2,25,50.5,61.63
5.67,22,90.3,76.54
7.89,17,51.9,82.77
9.18,10,82.3,84.24
2.36,14,43.7,48.91
9.4,26,66.0,93.38
1.05,19,41.8,46.67
7.78,30,57.3,87.37
8.29,28,57.2,95.21
2.23,27,79.6,66.22
4.77,10,65.0,55.6
8.34,11,43.1,65.2
1.13,22,94.7,61.93
6.66,17,88.9,86.34
8.14,27,90.4,100.0
5.62,16,53.6,62.19
7.53,13,61.7,68.55
3.04,12,52.5,50.72
2.79,16,46.9,57.94
4.27,23,41.8,50.83
2.61,12,67.7,57.84
4.11,26,46.8,61.32
9.53,16,49.7,84.48
6.16,16,87.3,75.68
4.06,23,66.6,68.81
3.44,28,50.1,59.67
9.57,19,76.8,88.45
5.0,26,54.6,77.45
9.82,16,69.0,91.51
5.64,12,55.6,62.01
5.69,27,68.4,76.82
9.07,26,74.6,87.61
7.68,25,69.5,85.47
6.23,28,61.8,80.83
4.84,20,83.5,76.25
8.9,14,88.0,89.22
4.7,22,49.9,61.38
9.3,22,47.5,83.16
1.62,18,46.2,48.9
4.87,23,93.9,87.91
5.68,15,91.8,86.32
9.56,22,52.7,85.74
